words,count,sentiment
multipl,1,0
cure,6,0
exist,1,0
med,1,0
place,5,0
alamjiri,3,0
deathli,3,0
bredda,1,0
sanit,2,0
purs,1,0
then,6,0
dirti,1,0
vagina,1,0
asamando,1,0
ant,1,0
milliped,1,0
motho,1,0
fila,1,0
pressur,1,0
topic,1,0
fetsa,1,0
thoma,1,0
gore,1,0
phaphela,1,0
expect,1,0
kiss,1,0
brand,1,0
mark,2,0
wrote,7,0
savag,1,0
indoor,1,0
compar,1,0
door,1,0
theonlyhopetoday,1,0
chose,1,0
drink,2,0
isr,1,0
allow,1,0
surveil,1,0
whereabout,1,0
whomev,1,0
until,2,0
tuesday,1,0
knesset,1,0
form,2,0
supervisori,1,0
committe,1,0
seem,2,0
relat,3,0
democrat,2,0
process,1,0
parliamentari,1,0
oversight,1,0
rather,2,0
privaci,1,0
maintain,1,0
sanction,1,0
iran,1,0
drown,1,0
monstrou,1,0
further,1,0
left,1,0
worldwid,1,0
broke,1,0
revolt,1,0
dynasti,1,0
bre,1,0
bet,1,0
powder,1,0
bake,1,0
soda,1,0
commerci,1,0
sheg,1,0
academ,1,0
sat,1,0
gcse,1,0
level,1,0
belfast,2,0
nh,2,0
hasnt,2,0
order,3,0
export,2,0
surrey,2,0
dming,1,0
catch,6,0
horribl,1,0
pre,2,0
cock,1,0
cfr,1,0
vest,1,0
interest,1,0
reshap,1,0
rid,1,0
thrive,1,0
cold,1,0
storm,1,0
hit,1,0
gov,1,0
definit,2,0
control,1,0
mayb,2,0
along,2,0
smh,1,0
dian,3,0
abbott,3,0
bbc,3,0
film,3,0
casualti,3,0
holbi,3,0
citi,3,0
staff,3,0
pavlov,1,0
dog,4,0
unit,4,0
threat,2,0
step,1,0
author,1,0
roman,3,0
obey,3,0
anywher,3,0
deni,1,0
paid,1,0
lmfaoooo,1,0
midst,2,0
personnel,1,0
japan,1,0
hold,5,0
signboard,1,0
ride,2,0
nigerian,1,0
treat,2,0
rubbish,1,0
tal,1,0
up,1,0
command,4,0
singl,1,0
bed,1,0
ridden,1,0
netflix,1,0
stfu,1,0
